fichier,feuille,rang,chaine,abonnes,date,entite,titre,verdict,commentaire
A_VERIFIER.xlsx,a verifier,195,Produits Laitiers,101000,2019-03-21,CNIEL,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.3 Brochettes Boeuf x Fromage,hors sujet,"c'est la chaîne du lobby lui-même. @LesProduitsLaitiers - même s'il s'agit d'une pub @Myriamanhattan dans ta cuisine, elle va mettre du beurre dans tes épinards !

Un programme pour partager ses bons plans, tes recettes préférées sans craquer ton budget.

Si tu veux que Myriam @Myriamanhattan débarque dans ta cuisine, mentionnes la sur Twitter, Insta ou en commentaire avec #MyriamDansTaCuisine.
(Si tu commentes sous la vidéo, penses à mettre ton @ pour que Myriam te trouve)

Retrouve aussi Myriam sur :
Twitter   / myriamanhattan   
et Instagram :   / myriamanhat.  .(en gros, la chaîne YouTube des Produits Laitiers recense pas mal de preuves de collaborations commerciales, mais ces vidéos sont de rediffusions sur la chaîne du lobby"
A_VERIFIER.xlsx,a verifier,196,Produits Laitiers,101000,2019-07-26,CNIEL,"L’AOP & Curious : Morgan VS, Youtubeur",hors sujet,"""Morgan VS aussi s’est pris au jeu de l’AOP and Curious."" >> finalement, je me demande dans quelle catégorie mettre ces vidéos. Peut-être pas hors sujet? Mais en même temps, ce qui nous intéresse, ce sont les collaborations commerciales en court, pas celle passées"
A_VERIFIER.xlsx,a verifier,197,Produits Laitiers,101000,2019-07-26,CNIEL,"L’AOP & Curious : Francis Poineaux, berger au Pays Basque, producteur de fromages en Ossau-iraty",hors sujet,
A_VERIFIER.xlsx,a verifier,198,Produits Laitiers,101000,2019-07-26,CNIEL,"L’AOP & Curious - Eric Chevalier, fabricant et affineur de fromages en Franche Comté",hors sujet,
A_VERIFIER.xlsx,a verifier,199,Produits Laitiers,101000,2019-08-23,CNIEL,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.5 pâtes au saumon amélioré (avec Sido Cuisto),hors sujet,pareil que plus haut
A_VERIFIER.xlsx,a verifier,200,Produits Laitiers,101000,2020-05-06,CNIEL,Eh mais y a quoi dans le lait en fait ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,201,Produits Laitiers,101000,2020-05-06,CNIEL,Milk Check : C'est vrai que les vaches polluent ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,202,Produits Laitiers,101000,2020-05-06,CNIEL,Et si on en parlait : La qualité du lait.,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,203,Produits Laitiers,101000,2020-05-06,CNIEL,Milk Check : Y'a quoi dans le lait ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,204,Produits Laitiers,101000,2020-05-06,CNIEL,Et si on en parlait : C'est quoi une ferme laitière en France ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,205,Produits Laitiers,101000,2020-09-08,CNIEL,Et si on en parlait : Les jus végétaux,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,206,Produits Laitiers,101000,2020-09-08,CNIEL,Milk Check : Consommer les produits laitiers après la date limite ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,207,Produits Laitiers,101000,2020-09-08,CNIEL,Et si on en parlait : Le bien-être des vaches laitières.,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,208,Produits Laitiers,101000,2021-02-22,CNIEL,"Les vaches, ça pollue ?",hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,209,Produits Laitiers,101000,2021-03-01,CNIEL,DANS NOS ASSIETTES - BENJAMIN,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,210,Produits Laitiers,101000,2021-03-01,CNIEL,DANS NOS ASSIETTES - TARA,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,211,Produits Laitiers,101000,2021-03-03,CNIEL,"Dis Jamy, il y a quoi dans les produits laitiers ?",hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,212,Produits Laitiers,101000,2021-06-01,CNIEL,"La biodiversité, au cœur de la filière laitière",hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,213,Produits Laitiers,101000,2022-01-01,CNIEL,"Les Produits Laitiers, Ensemble pour la vie",hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,214,Produits Laitiers,101000,2022-12-12,CNIEL,LES JONES - BURGERS,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,215,Produits Laitiers,101000,2023-02-15,CNIEL,Pub TV - Les Produits Laitiers Manga - Environnement,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,216,Produits Laitiers,101000,2023-02-15,CNIEL,Pub TV - Les Produits Laitiers Manga - Y a quoi dans le lait ?,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,217,Produits Laitiers,101000,2023-05-31,CNIEL,Pub Les Produits Laitiers Manga - Filière Laitière,hors sujet,c'est la chaîne du lobby lui-même. @LesProduitsLaitiers
A_VERIFIER.xlsx,a verifier,218,Le Paris d'Alexis,71100,2022-06-03,CIFOG,Umami Burger arrive à Paris !,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,219,Le Paris d'Alexis,71100,2026-02-09,CIFOG,Que vaut Gueuleton ?,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,220,Le Paris d'Alexis,71100,2026-03-13,CIFOG,Le vol-au-vent de Drouant,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,221,Le Paris d'Alexis,71100,2026-04-01,CIFOG,Recette : Vol-au-vent de Drouant 🇫🇷,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,222,Le Paris d'Alexis,71100,2026-04-24,CIFOG,Un bistrot typiquement parisien,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,223,Le Paris d'Alexis,71100,2026-05-10,CIFOG,Un bistrot dédié à la cuisine française 🇫🇷,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,224,Le Paris d'Alexis,71100,2026-05-18,CIFOG,Ce resto est une institution parisienne,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,225,Le Paris d'Alexis,71100,2026-07-19,INTERBEV,Ce smash burger dont tout le monde parle !!,hors sujet,"un influenceur culinaire qui mange surement gratuitement dans un restaurant, on s'en fiche"
A_VERIFIER.xlsx,a verifier,226,ChesterFoodies,66600,2025-11-17,CIFOG,Foie gras maison facile 😋,hors sujet,vidéo de recette sans collaboration commerciale
A_VERIFIER.xlsx,a verifier,227,ChesterFoodies,66600,2025-12-03,CIFOG,Tourte Volaille Champignons Sauce foie gras,hors sujet,vidéo de recette sans collaboration commerciale
A_VERIFIER.xlsx,a verifier,228,Cuisinons En Couleurs,33100,2025-06-16,ANVOL,"Shawarma maison, la recette facile",je ne sais pas,"la vidéo contient le logo de 'la volaille française', mais pas de 'partenariat' ou 'collaboration' dans la description"
A_VERIFIER.xlsx,a verifier,229,Vaimalama,25200,2022-07-16,ANVOL,VIE EN VAN - ÉTAPE 1 : RÉPARER LE VAN,hors sujet,"""En collaboration avec Combeing, le rêve de ma vie est sur le point de commencer !"""
